time,Q,S,I,R,D,V
0,0.0,990.0,10.485328164427607,0.0,0.0,0.0
1,0.5136109452715213,967.2851332886987,10.86982374360307,1.113555430823073,0.1083209030118495,19.572672623045424
2,1.0567303091634457,944.6692438025618,13.560159136268123,2.3564479788673447,0.23416146346896138,38.69206430827616
3,1.6323892313465505,922.1384289585981,14.606886172287727,3.8685809570248946,0.3788114669319408,57.36000853585939
4,2.243006642145901,899.6832931315856,15.89542757045476,5.602924749497064,0.5434983925862235,75.57810487527787
5,2.8902895160869795,877.2994621905925,16.915727582609314,7.728546874949206,0.7293528942144514,93.34781441372205
6,3.575138483837311,854.987989990465,22.880004217429207,9.633591189113526,0.9373732029995281,110.67056448084367
7,4.29756399872843,832.7556255506133,23.811924251421807,11.376768873803098,1.1683896795944382,127.54786010869157
8,5.056618283684571,810.6149141662867,25.049101542571165,14.332662719431262,1.4230308354377101,143.981399253703
9,5.8503482608451085,788.5841118393407,24.996371004247706,19.013617041945643,1.7016922758357675,159.9731881955434
10,6.675774119593782,766.6869016235812,29.14296457266147,21.467687904500277,2.0045100117103543,175.52565324169208
11,7.528897287545043,744.951911257415,31.75011847377067,23.846355144408854,2.3313394957500506,190.64174477469814
12,8.404740339670731,723.4120433230629,33.38845956436417,28.933752680361636,2.6817415709505985,205.32502974199892
13,9.297419834680094,702.1036409558658,33.928965065270354,32.5600415662186,3.054976244080908,219.5797690590626
14,10.200251331107575,681.0655228912001,37.15229582000578,38.32253545774112,3.4500048541175685,233.41097695712276
15,11.105884021120717,660.3379302421839,38.64704612607822,41.94009723094019,3.865500806882495,246.82446007044695
16,12.006460625336794,639.9614332339696,35.51085487169879,42.98666242176181,4.299868613038018,259.82683497590926
17,12.893796829995054,619.9758471257387,39.05225226470907,48.92504241780355,4.751270574689207,272.4255238772068
18,13.759573173514422,600.4192061210168,41.59857242538145,55.06999417556613,5.217660064679614,284.6287291029594
19,14.59553170404773,581.326837811482,37.4822791503083,58.77549075801231,5.696820046132238,296.44538804137585
20,15.393669590550921,562.7305725331983,39.49952604309916,66.28843706801634,6.186405287814546,307.8851108654898
21,16.14642212712662,544.6581124239228,42.314127394644316,77.13873848685893,6.683986616977757,318.95810399327394
22,16.84682833059311,527.1325742009888,38.213108155026596,84.27490426767935,7.187095546524181,329.6750826123112
23,17.488673414401642,510.1722086768184,39.69315056276962,75.96276646214123,7.693267656580712,340.04717591894723
24,18.066604229826293,493.79028981391474,43.5190348909585,88.26911891336466,8.200083422159768,350.08582838131116
25,18.576214738333288,477.99515923612785,37.118189563066736,87.00354543946757,8.705205255084078,359.80270046552357
26,19.014100822209578,462.790405157923,40.81869627543611,106.72149015785463,9.206409964036352,369.20957155827955
27,19.377884719152778,448.17515210312234,40.26733455141559,102.11867746393457,9.701616016420187,378.31824758936745
28,19.666210803129683,434.1444353011536,38.25619016877043,108.4425327151404,10.188905279716899,387.1404753802404
29,19.87871560616021,420.68963378577234,40.16649463942837,107.75800606028038,10.666539211936026,395.68786515891486
30,20.01597549713371,407.7989392922495,36.04801536110265,120.2142287979824,11.132969695878652,403.9718220520436
31,20.079436057085324,395.4578390398379,33.1131744244878,122.94164838881134,11.586844840191473,412.0034871792969
32,20.071327374411506,383.64959496701914,33.92821251356133,129.5986819302593,12.027010251744716,419.79368836891314
33,19.99456937408321,372.35570516983967,29.86197257417157,135.2409106660159,12.452506336380733,427.3529002975393
34,19.852671145102317,361.55633668145856,28.388834710231244,142.54774697142935,12.86256224199129,434.6912135944992
35,19.649627865249567,351.23072209378074,27.40553029581513,137.6854357050209,13.25658707157031,441.81831225558557
36,19.389818511849036,341.35751530474647,26.606229107536077,137.2498566818945,13.634158985839957,448.7434585884994
37,19.077906796235325,331.9151047486567,25.397316442120403,156.35491033372023,13.995012740664722,455.47548483971093
38,18.71874766693564,322.8818831467545,22.682248462143853,161.74801120775996,14.339026208881046,462.0227906542405
39,18.317300773560266,314.2364756966163,21.86487483902873,165.0264505030884,14.66620631737558,468.39334550184014
40,17.878552034162475,305.9579288297127,21.415032240370437,168.21337219315697,14.976674781855634,474.59469528838935
41,17.407444148544602,298.0258622283559,18.63220796200927,182.20854100799295,15.270654005169504,480.63397236261505
42,16.908816167813097,290.4205880564817,18.242665247637742,173.10514361867234,15.54845336802589,486.5179082277017
43,16.387352409481824,283.1232007497611,17.34609464792999,167.4525537080345,15.810456156493851,492.2528482815743
44,15.84754006253289,276.11564153062733,15.263583470566495,160.418774388218,16.057107159568428,497.8447682342019
45,15.29363531599207,269.3807405243325,16.03097006257732,170.7832436796429,16.288901213612313,503.2992914613851
46,14.729637580090198,262.9022402365717,14.411835632519553,175.7937990032844,16.506372664502244,508.62170700194184
47,14.159270862756703,256.6648034330776,12.045081118967547,176.69440802252214,16.71008574776425,513.8169879550113
48,13.585971575414431,250.65400810828444,11.593492669075928,204.59400114244517,16.90062595257606,518.8898098711494
49,13.012882098995949,244.85633216806494,11.465840539414875,179.690866398971,17.078592350839703,523.8445688821782
50,12.442849524542565,239.25912979679015,9.693858089210359,200.93878563523134,17.244590840219114,528.6853994691048
51,11.878428551419052,233.85060152053074,9.500913723771113,212.66499838824726,17.39922824526231,533.4161917208752
52,11.321887971466369,228.61975956689417,7.917395923063642,183.28574314473136,17.54310724753862,538.0406079277728
53,10.775220063362609,223.55638997469296,8.304638998259309,200.61280400442553,17.676822083731135,542.5620984195361
54,10.240152364802638,218.6510124401505,7.104685836643185,201.20767559690566,17.800954937397155,546.9839166531759
55,9.718161238585774,213.89483897800784,6.444460243673133,209.8503629396101,17.916072973857226,551.309133469165
56,9.210486733867361,209.27973213541506,6.073863652431411,216.40648463418094,18.022725947455513,555.5406505236346
57,8.718148339597404,204.79816340788688,5.471172268995793,194.33672201310839,18.121444325415883,559.6812128832569
58,8.241961260731088,200.44317236315038,4.857964123764718,200.81658238476095,18.2127378695384,563.7334207932116
59,7.782552903366278,196.20832686259376,4.470288299730161,207.20940101064866,18.297094620418985,567.6997406381572
60,7.340379304271575,192.08768467956264,3.771489846305357,199.86726661266565,18.374980232864118,571.5825151215532
61,6.9157412854801485,188.0757567360601,3.7139101073433136,210.07292977919522,18.446837615015994,575.3839726934563
62,6.50880015585881,184.16747211345745,3.014033088622327,210.40353761812744,18.513086827568763,579.1062362606503
63,6.119592818636104,180.3581449377129,2.936463145487064,206.14188153994016,18.57412520332659,582.7513312155869
64,5.74804617673943,176.64344319420093,2.5668746279072696,210.48321815999233,18.630327651163004,586.3211928222191
65,5.393990756552277,173.0193594903512,2.12155300367693,202.8426337317262,18.682047112123428,589.8176729975684
66,5.057173495578265,169.48218375468196,1.9422252888957638,232.5324857623661,18.729615138919648,593.2425465279302
67,4.737269660771405,166.02847783738858,1.8700129775025556,206.00295669616307,18.77334257336431,596.5975167581515
68,4.433893882271605,162.65505195944883,1.599157064708941,223.83857643341702,18.813520299366534,599.8842207915172
69,4.146610302286037,159.35894294338718,1.4434132682561662,219.13492028168187,18.85042005194872,603.1042342365693
70,3.874941851189416,156.1373941486935,1.2556343655836266,223.98285090533668,18.884295265347465,606.2590755357319
71,3.6183786728753686,152.9878370277987,1.1047538261289973,213.41518173384478,18.91538194563306,609.3502099089985
72,3.3763857292561554,149.9078742139485,0.9929195820027157,196.99953717034023,18.943899555428725,612.3790529442043
73,3.1484096198408573,146.89526404984224,0.9287634598353633,211.63008048009675,18.970051900242847,615.3469738636041
74,2.9338846567648282,143.94790646513124,0.8510301365105426,226.70510034814794,18.99402800765636,618.2552984946516
75,2.732238238718787,141.06383011147454,0.7429541765868075,213.67714972814167,19.016002992145232,621.1053119710366
76,2.5428955691377344,138.24118066554846,0.6471302789905191,212.32234968541917,19.036138899678296,623.8982611882327
77,2.3652837651136744,135.47821021221526,0.6688039872433272,220.51351678294006,19.054585527484033,626.6353570362031
78,2.1988354028413846,132.77326762557988,0.5615097681056823,198.73586295845428,19.071481215237903,629.3177764297095
79,2.042991546426788,130.1247898665191,0.43522793064022536,203.93610017893084,19.08695360512593,631.9466641556153
80,1.8972043041567523,127.53129412050772,0.3869082100051032,218.70641423624076,19.101120368799233,634.5231345548007
81,1.7609389551237122,124.99137070553925,0.3678930671631827,217.58096741514407,19.114089899806757,637.048273054419
82,1.6336756881201147,122.5036766815317,0.31316800554149865,210.38762297633966,19.125961970907042,639.5231375654229
83,1.5149109922107777,120.06693009727046,0.268906993362956,219.77753329942877,19.136828356124482,641.9487597589458
84,1.4041587359160737,117.67990481771022,0.2510801065111331,219.75080328984777,19.146773417572813,644.3261462333583
85,1.3009509703723434,115.34142587546981,0.20618509744464297,206.89882995514895,19.155874657795223,646.6562795834286
86,1.204838488027295,113.05036529807454,0.18770235527056864,228.6931552394019,19.16420323808174,648.940119381164
87,1.115391167319876,110.80563836405796,0.1685924844741266,229.1538636503585,19.171824463812502,651.1786030774628
88,1.0321981309954822,108.60620024425653,0.16095071134490122,210.35517092444357,19.17879823810389,653.372646833003
89,0.954867743630507,106.45104299050895,0.1402935408449613,206.79552566374116,19.18517948492104,655.5231462854143
90,0.883027471293846,104.3391928354853,0.10888573809240795,202.28156573168147,19.19101854309577,657.6309772595279
91,0.8163236243024228,102.26970777277981,0.1024200968704744,231.79845367377652,19.19636153239122,659.6969964262117
92,0.7544210019818437,100.24167538634359,0.10168583008940468,205.1519554389324,19.201250693288912,661.7220419155029
93,0.6970024566460965,98.2542109033124,0.0798402187336411,207.67034288911145,19.205724701884414,663.7069338886025
94,0.6437683918601806,96.30645544599133,0.06630206505490309,226.24269154878655,19.20981896137323,665.652475073048
95,0.5944362087091313,94.39757446231783,0.06311965892319006,228.21494547638406,19.21356587133234,667.5594512645179
96,0.5487397117432208,92.5267563141555,0.05408757628920657,215.61339246268878,19.216995076388194,669.4286317989881
97,0.5064284853385421,90.6932110063455,0.05453849762847719,224.31898509291034,19.220133695583495,671.2607699981235
98,0.46726724961579286,88.89616904096252,0.039997241495576964,204.41446265625623,19.223006533697284,673.0566035905213
99,0.43103520410140267,87.13488038305294,0.029882576939012327,221.88949183702192,19.225636275681765,674.8168551110449
