epoch,iteration,loss,train_mse,train_mae,train_r2,learning_rate,optimizer,time_elapsed,timestamp
1,1,180619.4986094777,177504.75214211622,283.79639723862545,-2.447572297947907,0.01,ADAM,3.4069371223449707,2025-08-30T10:08:50.237
1,50,3927.6593308877323,3791.876533857604,31.145844204484607,0.9263525717615734,0.01,ADAM,15.45006513595581,2025-08-30T10:09:02.016
1,100,1397.6445605297527,1305.6509030771865,16.639991026366175,0.9746410964781627,0.01,ADAM,29.602230072021484,2025-08-30T10:09:16.168
1,150,69.7034512423978,61.43835913593548,5.5755257897608645,0.9988067182290487,0.01,ADAM,42.03256607055664,2025-08-30T10:09:28.599
1,200,23.85333511028775,21.769502013545623,3.0597385530766754,0.999577183533532,0.01,ADAM,53.53427505493164,2025-08-30T10:09:40.100
1,250,19.0141381597658,16.694944069519607,2.725363409404374,0.9996757437420956,0.01,ADAM,67.45371103286743,2025-08-30T10:09:54.021
1,300,28.94780130661673,21.362424974273775,3.4955714037292998,0.9995850899557926,0.01,ADAM,90.06863617897034,2025-08-30T10:10:16.637
1,350,16.861853617595383,15.931693715295124,2.8523756832345444,0.9996905679129747,0.01,ADAM,108.37023115158081,2025-08-30T10:10:34.945
1,400,8.956202801082554,8.18622058915117,1.9368377580502423,0.9998410037647586,0.01,ADAM,129.36469411849976,2025-08-30T10:10:55.937
1,450,8.98694583141533,8.253244822185888,1.999280739095445,0.9998397019917846,0.01,ADAM,150.72724199295044,2025-08-30T10:11:17.316
1,500,12.37130709358372,8.478657737126133,2.1461217822302383,0.999835323926906,0.01,ADAM,171.73594403266907,2025-08-30T10:11:38.307
